sample_index	font	target_char	style_chars	normal_context_vs_content_flat_cos	normal_context_vs_content_token_cos_mean	normal_context_vs_raw_style_mean_flat_cos	normal_context_vs_raw_style_mean_token_cos_mean	trimmed_context_vs_content_flat_cos	trimmed_context_vs_content_token_cos_mean	trimmed_context_vs_raw_style_mean_flat_cos	trimmed_context_vs_raw_style_mean_token_cos_mean	normal_vs_trimmed_flat_cos	normal_vs_trimmed_l1
86075	方正卓越体 简_Xian	伍	雷讹焰誉准枢	-0.03379771113395691	-0.041332490742206573	0.020069366320967674	0.021464817225933075	-0.03415209800004959	-0.041288167238235474	0.01944059506058693	0.02071472443640232	0.9990042448043823	0.026424668729305267
276550	方正雅士黑 简 Bold	匠	鲸表由甲枣苍	0.055163394659757614	0.060717374086380005	-0.011697109788656235	-0.0018424652516841888	0.05506271868944168	0.060408271849155426	-0.011781429871916771	-0.002165134996175766	0.9985088109970093	0.0316808819770813
7218	MiSans-Regular	茴	甸侣长卢削畏	0.012574004009366035	0.022563975304365158	-0.015838244929909706	-0.011730746366083622	0.012923099100589752	0.0226014144718647	-0.015922103077173233	-0.011843454092741013	0.9986761212348938	0.03549407422542572
9518	SIMFANG	迅	茴铡五拄芭驴	-0.02070699632167816	-0.022638842463493347	-0.028772184625267982	-0.030002061277627945	-0.02047797664999962	-0.022675786167383194	-0.028651537373661995	-0.029812762513756752	0.999004602432251	0.025644809007644653
223271	方正秋刀鱼润黑 简	上	蛾盒漱鲫伞要	-0.014759698882699013	-0.01807452365756035	0.0024323356337845325	-0.003859278280287981	-0.013899452984333038	-0.017147306352853775	0.0018564783968031406	-0.004417229909449816	0.9989980459213257	0.026327475905418396
226135	方正粗倩简体	盈	轩吁仰毯苟武	0.04927780106663704	0.049607813358306885	0.0035212370567023754	0.009817701764404774	0.047289278358221054	0.046762388199567795	0.004237610846757889	0.010416005738079548	0.9979171752929688	0.035231441259384155
261955	方正褚遂良楷书 简	顶	啊米刑欢酱驯	-0.028025571256875992	-0.03430090844631195	0.009168315678834915	0.005996589548885822	-0.028392767533659935	-0.03483583778142929	0.009126769378781319	0.006115815136581659	0.9985542297363281	0.02662477269768715
158357	方正文征明小楷 简	打	吁髓取而唁们	-0.010405933484435081	-0.02004843018949032	0.008871691301465034	0.007497664541006088	-0.008822700008749962	-0.018101584166288376	0.008737421594560146	0.0074592274613678455	0.9981608390808105	0.030193697661161423
271902	方正铁筋隶书简体	烹	龟市氏凸什巢	-0.018840664997696877	-0.018636910244822502	0.01141119934618473	0.01014009304344654	-0.018242882564663887	-0.017881227657198906	0.012545864097774029	0.01141346525400877	0.997482180595398	0.03510766476392746
153070	方正快速体 简 Bold	殴	伸痘且苍眨日	0.003934965934604406	-0.004055088385939598	0.017731115221977234	0.018145820125937462	0.00427402276545763	-0.0036711455322802067	0.01719813421368599	0.018081512302160263	0.9993098378181458	0.023904507979750633
159900	方正文征明行草 简	说	芋哪帽惑窑瞄	-0.0034750672057271004	-0.010516973212361336	-0.0025038965977728367	-0.009664448909461498	-0.0031871169339865446	-0.010764478705823421	-0.0016221911646425724	-0.008348088711500168	0.9983481168746948	0.030295751988887787
224250	方正稚艺简体	江	画馏盾锉粒旧	-0.0009821392595767975	0.0007364267366938293	-0.004308677278459072	-0.004188316874206066	-0.0016483832150697708	-0.0006368242902681231	-0.004205835983157158	-0.004370188340544701	0.9972348213195801	0.03985884040594101
219378	方正盛世楷书简体_Zhun	耐	菇哗子再甘巧	-0.028624966740608215	-0.032385606318712234	-0.003921844996511936	-0.0008966904133558273	-0.028904296457767487	-0.03303391486406326	-0.004966043867170811	-0.0019015877041965723	0.9989632368087769	0.026787355542182922
132291	方正宋刻本秀楷简	饥	谜迄旋宜曾拿	-0.003988298587501049	-0.007994825020432472	0.007046038284897804	0.006950137671083212	-0.004397675395011902	-0.00831528753042221	0.007043019402772188	0.007016190327703953	0.9984769225120544	0.029323384165763855
31161	书体坊赵九江钢笔楷书	屎	旦删雌臣埂台	0.010488319210708141	0.012771788984537125	-0.018816594034433365	-0.020815230906009674	0.010345693677663803	0.012386230751872063	-0.01789400540292263	-0.019763292744755745	0.9977121353149414	0.03429049253463745
289448	方正飘体 简	歧	果产塌黄爆刊	0.01815040037035942	0.016202211380004883	-0.007830429822206497	-0.009693106636404991	0.018688341602683067	0.016584064811468124	-0.007735017687082291	-0.009680679067969322	0.9993921518325806	0.022526388987898827
300853	汉仪凌波体简	岛	耗删撰昼囊窜	-0.017922839149832726	-0.010894631035625935	-0.023526350036263466	-0.025812633335590363	-0.017636943608522415	-0.009645966812968254	-0.02361956797540188	-0.026119213551282883	0.9963128566741943	0.0421600341796875
66556	方正兰亭粗黑简体	召	泌呆样凿婶鹃	0.023903904482722282	0.03312156721949577	-0.008213445544242859	-0.0019106711260974407	0.02329193614423275	0.033046454191207886	-0.007342325057834387	-0.0006073177792131901	0.9978365898132324	0.04386512190103531
230720	方正粗活意简体	由	哺吟旨鸵粥蔓	0.053147464990615845	0.048027485609054565	-0.012902840971946716	-0.01438656635582447	0.05284187197685242	0.04758688807487488	-0.013556270860135555	-0.015061050653457642	0.9986629486083984	0.029984060674905777
268309	方正达利体简体	儡	位渺迅悬则廉	-0.005638972856104374	-0.011537234298884869	-0.019960621371865273	-0.022206682711839676	-0.005002211779356003	-0.011096230708062649	-0.019205335527658463	-0.021214906126260757	0.9982521533966064	0.035597264766693115
211626	方正白舟魂心体 简	婶	燕峦愕泻涉冷	0.027045417577028275	0.020901069045066833	-0.014083143323659897	-0.019004642963409424	0.02794249728322029	0.022091345861554146	-0.014791680499911308	-0.019660942256450653	0.9974802732467651	0.030285131186246872
85826	方正卓越体 简_Cu	跃	间翎耐斋支肥	0.01651604473590851	0.009631175547838211	0.0008345497772097588	-0.00014825462130829692	0.01640983112156391	0.009288042783737183	0.0008395339827984571	-1.8282938981428742e-05	0.9988170862197876	0.027024565264582634
51669	方正健力体 简 Heavy	辙	唧膏沦他砸乖	0.025874212384223938	0.0264763031154871	-0.007675084751099348	-0.0036401432007551193	0.025881513953208923	0.026330407708883286	-0.008334147743880749	-0.004152607638388872	0.9972673058509827	0.032925158739089966
298541	方正黑体简体	抑	蹄平名昔篡个	0.016088958829641342	0.015111754648387432	0.012421274557709694	0.02012665756046772	0.015302327461540699	0.013948468491435051	0.012395694851875305	0.019674966111779213	0.9980138540267944	0.036290764808654785
91008	方正古隶简体	盒	肴幻码舆唁鹊	-0.024583399295806885	-0.022032182663679123	0.01832953467965126	0.01769312471151352	-0.02480432391166687	-0.022398754954338074	0.018207378685474396	0.017904996871948242	0.9983339309692383	0.02975442074239254
243683	方正经黑手写简体	廓	音纸零昌炸空	0.02515585906803608	0.02603878825902939	0.011510800570249557	0.00857526995241642	0.0254975575953722	0.02668646164238453	0.014026341028511524	0.01087568886578083	0.9970765113830566	0.03796666860580444
